"","Rank","Title","authorName","avg_rating","rater","score","voter","price","First_published","pages","reviews","followers","top_genre","second_genre","third_genre","fourth_genre","fifth_genre","Five_stars","Four_stars","Three_stars","Two_stars","One_stars","cover_type","author_avg_rating"
"257",257,"The Hiding Place: The Triumphant True Story of Corrie Ten Boom","Corrie ten Boom",4.47,333199,61622,738,"6.64","January 1, 1971",242,14294,1528,"Nonfiction","Biography","History","Christian","Memoir",65,22,8,2,1," Mass Market Paperback","4.47"
"258",258,"Ella Enchanted","Gail Carson Levine",4.01,416666,60541,749,NA,"April 25, 1997",240,12625,9297,"Fantasy","Young Adult","Fiction","Middle Grade","Romance",39,32,21,5,1," Paperback","3.96"
"259",259,"A Clash of Kings","George R.R. Martin",4.42,960835,60507,744,NA,"November 16, 1998",1009,28989,114000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Science Fiction Fantasy",54,35,8,1,1," Paperback","4.38"
"260",260,"Girl with a Pearl Earring","Tracy Chevalier",3.93,748439,60440,788,"8.99","January 1, 1999",233,12928,10600,"Historical Fiction","Fiction","Historical","Classics","Art",32,37,22,5,2," Paperback","3.87"
"261",261,"The Lord of the Rings","J.R.R. Tolkien",4.53,690588,60292,721,"15.99","January 1, 1954",1216,15083,72800,"Fantasy","Classics","Fiction","Adventure","Science Fiction Fantasy",67,22,7,1,1," Paperback","4.36"
"262",262,"Uglies","Scott Westerfeld",3.85,678963,59404,708,NA,"February 8, 2005",425,27736,20800,"Young Adult","Dystopia","Science Fiction","Fiction","Fantasy",33,32,23,7,3," Paperback","3.84"
"263",263,"The Wind-Up Bird Chronicle","Haruki Murakami",4.15,292606,59258,666,"13.99","April 12, 1994",607,20849,123000,"Fiction","Magical Realism","Fantasy","Japanese Literature","Novels",42,36,15,4,1," Paperback","3.94"
"264",264,"Marley and Me: Life and Love With the World’s Worst Dog","John Grogan",4.14,472658,58952,739,NA,"January 1, 2005",291,15130,1036,"Nonfiction","Animals","Memoir","Biography","Dogs",43,34,17,3,1," Hardcover","4.14"
"265",265,"The House of the Spirits","Isabel Allende",4.28,281877,58728,732,"13.99","January 1, 1982",448,16258,40600,"Fiction","Magical Realism","Historical Fiction","Fantasy","Spanish Literature",49,33,12,2,1," Paperback","4.01"
"266",266,"Crooked Kingdom","Leigh Bardugo",4.59,678782,57834,625,NA,"September 27, 2016",561,75921,173000,"Fantasy","Young Adult","Fiction","Romance","Young Adult Fantasy",67,25,5,1,1," Kindle Edition","4.15"
"267",267,"She’s Come Undone","Wally Lamb",3.91,350930,57635,699,"13.99","August 24, 1992",465,11494,7953,"Fiction","Contemporary","Chick Lit","Coming Of Age","Adult Fiction",35,33,20,6,3," Mass Market Paperback","4.0"
"268",268,"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer",4.19,769226,57536,708,"1.99","July 29, 2008",291,63338,2135,"Historical Fiction","Fiction","Romance","Historical","World War II",44,35,14,3,1," Paperback","4.19"
"269",269,"Shiver","Maggie Stiefvater",3.76,486130,57103,664,NA,"August 1, 2009",392,25209,170000,"Young Adult","Fantasy","Romance","Paranormal","Werewolves",33,28,23,9,4," Hardcover","4.0"
"270",270,"Norwegian Wood","Haruki Murakami",4.01,638174,56952,649,"13.99","September 4, 1987",296,49211,123000,"Fiction","Romance","Japan","Japanese Literature","Classics",35,38,18,5,1," Paperback","3.94"
"271",271,"Speak","Laurie Halse Anderson",4.05,604482,56619,688,"9.99","October 22, 1999",224,31997,17100,"Young Adult","Fiction","Contemporary","Realistic Fiction","Mental Health",40,33,18,5,2," Hardcover","4.02"
"272",272,"Marked","P.C. Cast",3.81,504895,56456,664,NA,"May 1, 2007",306,16653,27700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",37,26,21,8,5," Paperback","3.94"
"273",273,"The Shack: Where Tragedy Confronts Eternity","William Paul Young",3.83,661487,55590,662,"9.99","May 1, 2007",294,36070,2441,"Fiction","Christian","Christian Fiction","Spirituality","Faith",40,25,18,8,7," Kindle Edition","3.83"
"274",274,"Fear and Loathing in Las Vegas","Hunter S. Thompson",4.07,357140,55538,674,"12.99","July 7, 1971",204,10013,10100,"Fiction","Classics","Humor","Journalism","Novels",40,34,17,4,2," Paperback","4.02"
"275",275,"The Sound and the Fury","William Faulkner",3.86,185815,55525,694,"12.99","October 7, 1929",366,9764,9746,"Classics","Fiction","Literature","Novels","American",36,30,19,8,4," Paperback","3.84"
"276",276,"The Way of Kings","Brandon Sanderson",4.66,536525,55286,583,NA,"August 31, 2010",1007,40202,242000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Audiobook",74,19,4,1,1," Hardcover","4.4"
"277",277,"The Complete Calvin and Hobbes","Bill Watterson",4.81,40870,55273,690,NA,"September 6, 2005",1456,1206,4630,"Humor","Graphic Novels","Fiction","Comics","Classics",86,10,2,1,1," Hardcover","4.65"
"278",278,"For Whom the Bell Tolls","Ernest Hemingway",3.98,300128,55153,755,"13.99","October 1, 1940",471,9478,29900,"Classics","Historical Fiction","Literature","War","Novels",35,36,20,5,2," Paperback","3.83"
"279",279,"Kafka on the Shore","Haruki Murakami",4.13,491809,54389,615,"12.99","September 1, 2002",467,40325,123000,"Fiction","Magical Realism","Fantasy","Japanese Literature","Novels",40,38,15,4,1," Paperback","3.94"
"280",280,"Island of the Blue Dolphins","Scott O'Dell",3.87,338003,54303,700,NA,"September 9, 1960",194,10270,768,"Fiction","Young Adult","Historical Fiction","Childrens","Middle Grade",33,32,23,6,3," Kindle Edition","3.85"
"281",281,"Paper Towns","John Green",3.71,1402884,53762,634,"8.99","October 16, 2008",305,56898,308000,"Young Adult","Fiction","Contemporary","Romance","Mystery",27,32,27,9,3," Paperback","3.98"
"282",282,"Roots: The Saga of an American Family","Alex Haley",4.44,161115,53626,706,"14.99","August 17, 1976",729,4324,1106,"Historical Fiction","Fiction","Classics","Historical","African American",59,28,9,1,1," Mass Market Paperback","4.39"
"283",283,"The Complete Sherlock Holmes","Arthur Conan Doyle",4.5,209529,53503,694,NA,"January 1, 1905",1796,5183,23100,"Classics","Mystery","Fiction","Crime","Short Stories",62,28,7,1,1," Paperback","4.17"
"284",284,"Stranger in a Strange Land","Robert A. Heinlein",3.92,316766,53388,668,"8.99","July 1, 1961",525,10315,9881,"Science Fiction","Fiction","Classics","Science Fiction Fantasy","Fantasy",38,30,19,7,4," Paperback","3.94"
"285",285,"Othello","William Shakespeare",3.89,403090,53186,759,"1.99","January 1, 1603",319,11191,44400,"Classics","Plays","Fiction","School","Theatre",31,36,24,6,1," Mass Market Paperback","3.86"
"286",286,"Into the Wild","Jon Krakauer",4.01,1116407,52905,668,"9.99","January 13, 1996",207,29800,15300,"Nonfiction","Biography","Adventure","Classics","Memoir",37,36,18,4,2," Paperback","4.07"
"287",287,"Invisible Man","Ralph Ellison",3.91,192074,52894,654,"11.99","April 14, 1952",581,8679,1800,"Fiction","Classics","Literature","Historical Fiction","Race",34,34,21,6,2," Paperback","3.91"
"288",288,"The Idiot","Fyodor Dostoevsky",4.21,191060,52834,669,"2.99","January 1, 1869",667,9601,59300,"Fiction","Russia","Russian Literature","Literature","Classics",46,34,14,3,1," Paperback","4.19"
"289",289,"Inkheart","Cornelia Funke",3.92,430211,52683,666,NA,"September 23, 2003",563,14794,13500,"Fantasy","Young Adult","Fiction","Middle Grade","Childrens",35,33,22,6,2," Paperback","3.96"
"290",290,"Neverwhere","Neil Gaiman",4.17,542976,52141,636,"9.99","September 16, 1996",370,30488,317000,"Fantasy","Fiction","Urban Fantasy","Audiobook","Science Fiction Fantasy",42,37,15,3,1," Paperback","4.15"
"291",291,"The Girl Who Kicked the Hornet’s Nest","Stieg Larsson",4.24,747288,52007,669,NA,"May 1, 2007",566,31840,15900,"Fiction","Mystery","Thriller","Crime","Mystery Thriller",45,37,13,2,1," Hardcover","4.19"
"292",292,"The Vampire Lestat","Anne Rice",4.1,205416,51752,662,NA,"January 1, 1985",481,5810,26200,"Horror","Fantasy","Vampires","Fiction","Paranormal",40,35,18,4,1," Mass Market Paperback","3.92"
"293",293,"King Lear","William Shakespeare",3.91,224117,51359,701,"3.99","January 1, 1605",339,7406,44400,"Plays","Fiction","Classics","School","Theatre",34,33,23,6,1," Mass Market Paperback","3.86"
"294",294,"Delirium","Lauren Oliver",3.95,470987,51333,590,NA,"February 3, 2011",441,28966,118000,"Young Adult","Dystopia","Romance","Fantasy","Science Fiction",37,33,20,6,2," Paperback","3.87"
"295",295,"The Things They Carried","Tim O'Brien",4.14,323164,51280,620,"11.99","March 28, 1990",246,19602,3040,"Fiction","Historical Fiction","Classics","War","Short Stories",42,35,15,4,1," Paperback","4.08"
"296",296,"Uncle Tom’s Cabin","Harriet Beecher Stowe",3.91,231570,50642,701,"0.00","January 1, 1852",438,10135,1240,"Classics","Fiction","Historical Fiction","Literature","Historical",34,33,23,6,2," Paperback","3.91"
"297",297,"White Oleander","Janet Fitch",4,357824,50593,630,"0.00","July 1, 1999",446,9503,88800,"Fiction","Coming Of Age","Contemporary","Literary Fiction","Drama",35,36,21,4,1," Paperback","3.98"
"298",298,"Beautiful Disaster","Jamie McGuire",4.01,695254,50540,571,NA,"May 26, 2011",432,34894,42600,"Romance","New Adult","Contemporary","Young Adult","Contemporary Romance",46,25,16,6,5," Kindle Edition","4.03"
"299",299,"Blood River: A Journey to Africa’s Broken Heart","Tim Butcher",3.98,11570,50415,511,"9.99","July 3, 2007",363,847,1155,"Travel","Nonfiction","Africa","History","Adventure",35,38,18,4,3," Paperback","3.94"
"300",300,"Never Let Me Go","Kazuo Ishiguro",3.85,736245,49994,602,"12.99","April 5, 2005",288,57930,37100,"Fiction","Science Fiction","Dystopia","Contemporary","Literary Fiction",30,36,23,7,2," Paperback","3.84"
"301",301,"Different Seasons","Stephen         King",4.35,209719,49814,652,"11.99","January 1, 1982",560,6634,857000,"Horror","Fiction","Short Stories","Thriller","Mystery",51,34,11,1,1," Mass Market Paperback","4.07"
"302",302,"Foundation","Isaac Asimov",4.17,554835,49430,604,NA,"August 30, 1951",244,17431,25800,"Science Fiction","Fiction","Classics","Science Fiction Fantasy","Fantasy",46,32,15,4,1," Hardcover","4.36"
"303",303,"Wonder","R.J. Palacio",4.37,1118431,49403,575,NA,"February 14, 2012",315,77228,7621,"Young Adult","Fiction","Middle Grade","Contemporary","Realistic Fiction",56,29,11,2,1," Hardcover","4.17"
"304",304,"Midnight Sun [2008 Draft]","Stephenie Meyer",4.01,148875,49098,577,NA,"August 28, 2008",264,9302,76700,"Young Adult","Fantasy","Vampires","Romance","Paranormal",45,26,17,6,4," ebook","3.7"
"305",305,"All Creatures Great and Small","James Herriot",4.35,149859,48836,645,"0.00","January 1, 1972",437,7430,3052,"Nonfiction","Memoir","Animals","Classics","Biography",53,31,11,2,1," Mass Market Paperback","4.38"
"306",306,"The Once and Future King","T.H. White",4.07,114134,48739,610,"9.99","January 1, 1958",639,5395,1292,"Fantasy","Classics","Fiction","Historical Fiction","Arthurian",40,34,18,4,1," Mass Market Paperback","4.0"
"307",307,"Ready Player One","Ernest Cline",4.23,1206785,48639,552,NA,"August 16, 2011",374,104720,27500,"Science Fiction","Fiction","Young Adult","Fantasy","Dystopia",49,31,12,3,1," Hardcover","4.08"
"308",308,"Shatter Me","Tahereh Mafi",3.85,982145,48576,547,NA,"November 15, 2011",338,97683,57900,"Dystopia","Young Adult","Fiction","Science Fiction","Paranormal",31,34,23,6,3," Hardcover","4.05"
"309",309,"I Know This Much Is True","Wally Lamb",4.21,315574,48474,579,NA,"June 14, 1998",897,10530,7953,"Fiction","Contemporary","Literary Fiction","Novels","Mental Health",46,33,14,3,1," Paperback","4.0"
"310",310,"James and the Giant Peach","Roald Dahl",4.03,485462,48206,677,NA,"November 1, 1961",176,9290,25300,"Childrens","Fantasy","Fiction","Classics","Young Adult",38,34,20,4,1," Hardcover","4.15"
"311",311,"The Historian","Elizabeth Kostova",3.8,268901,48095,577,"2.99","June 14, 2005",704,18602,4699,"Fiction","Historical Fiction","Fantasy","Horror","Vampires",31,33,22,8,3," Kindle Edition","3.77"
"312",312,"The Time Machine","H.G. Wells",3.89,531809,47859,668,"0.00","January 1, 1895",118,17066,10400,"Science Fiction","Fiction","Classics","Time Travel","Fantasy",29,38,25,5,1," Paperback","3.82"
"313",313,"Flow Down Like Silver","Ki Longfellow",4.01,4507,47789,494,"9.95","August 20, 2009",301,231,1301,"Historical Fiction","Fiction","Egypt","Historical","Philosophy",45,28,13,6,6," Paperback","4.05"
"314",314,"Candide","Voltaire",3.76,282986,47750,628,"3.41","January 1, 1759",129,12161,4539,"France","Classics","French Literature","Humor","School",27,34,26,8,2," Paperback","3.76"
"315",315,"Paradise Lost","John Milton",3.85,169995,47646,639,"0.99","January 1, 1667",512,6113,2078,"Poetry","Fiction","Classics","Literature","Religion",34,31,22,7,3," Paperback","3.87"
"316",316,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal","Christopher Moore",4.23,176244,47548,531,"13.99","March 1, 2002",444,13231,90800,"Fiction","Humor","Historical Fiction","Fantasy","Religion",51,29,13,4,2," Paperback","3.96"
"317",317,"The Complete Works","William Shakespeare",4.48,57204,47395,615,"0.99","January 1, 1623",1229,1111,44400,"Classics","Poetry","Fiction","Plays","Literature",64,23,9,1,1," Leather Bound","3.86"
"318",318,"The Son of Neptune","Rick Riordan",4.41,616207,46952,589,NA,"October 4, 2011",521,26272,434000,"Fantasy","Mythology","Young Adult","Fiction","Middle Grade",55,32,10,1,1," Hardcover","4.34"
"319",319,"The Thirteenth Tale","Diane Setterfield",3.98,317490,46793,566,"13.99","September 12, 2006",406,27062,6730,"Fiction","Mystery","Historical Fiction","Gothic","Books About Books",34,37,20,5,1," Hardcover","3.93"
"320",320,"Heidi","Johanna Spyri",4.03,203226,46724,650,"2.85","January 1, 1880",352,6553,800,"Classics","Fiction","Childrens","Young Adult","Historical Fiction",38,33,22,4,1," Paperback","4.05"
"321",321,"The Mark of Athena","Rick Riordan",4.47,625448,46693,571,NA,"October 2, 2012",586,27263,434000,"Fantasy","Mythology","Young Adult","Fiction","Middle Grade",61,27,8,1,1," Hardcover","4.34"
"322",322,"The Wise Man’s Fear","Patrick Rothfuss",4.55,574998,46552,516,NA,"March 1, 2011",994,28407,238000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Audiobook",67,23,6,1,1," Hardcover","4.44"
"323",323,"The Final Empire","Brandon Sanderson",4.48,754615,46517,512,NA,"July 17, 2006",541,58780,242000,"Fantasy","Fiction","High Fantasy","Epic Fantasy","Audiobook",60,30,7,1,1," Hardcover","4.4"
"324",324,"Leaves of Grass","Walt Whitman",4.12,110189,46298,627,"4.27","July 4, 1855",624,3871,5044,"Poetry","Classics","Fiction","Literature","American",45,30,16,4,2," Paperback","4.11"
"325",325,"East of Eden","John Steinbeck",4.42,559807,46095,544,NA,"January 1, 1952",601,32113,23600,"Fiction","Classics","Historical Fiction","Literature","Novels",59,26,9,2,1," Paperback","3.96"
"326",326,"City of Lost Souls","Cassandra Clare",4.21,542697,46012,571,NA,"May 8, 2012",535,24772,273000,"Fantasy","Young Adult","Romance","Paranormal","Urban Fantasy",47,32,15,3,1," Hardcover","4.22"
"327",327,"Me Before You","Jojo Moyes",4.26,1682734,45895,532,NA,"December 31, 2012",369,98330,63400,"Romance","Fiction","Contemporary","Chick Lit","Adult",49,33,13,3,1," Paperback","4.11"
"328",328,"A Court of Thorns and Roses","Sarah J. Maas",4.18,3069547,45656,522,NA,"May 5, 2015",419,241811,458000,"Fantasy","Young Adult","Fiction","New Adult","Fae",45,34,14,3,1," Hardcover","4.36"
"329",329,"Graceling","Kristin Cashore",4.07,468394,45328,538,NA,"October 1, 2008",471,27539,16700,"Fantasy","Young Adult","Romance","Fiction","Young Adult Fantasy",41,33,17,4,2," Hardcover","4.05"
"330",330,"Are You There God? It’s Me, Margaret","Judy Blume",3.94,245144,44837,601,"9.99","January 1, 1970",149,12532,11200,"Young Adult","Fiction","Childrens","Classics","Middle Grade",34,35,23,5,1," Hardcover","3.89"
"331",331,"’Salem’s Lot","Stephen         King",4.1,593864,44624,562,"9.99","October 17, 1975",483,21938,857000,"Horror","Fiction","Vampires","Fantasy","Thriller",39,36,19,3,1," Paperback","4.07"
"332",332,"The Cider House Rules","John Irving",4.16,188306,44477,600,"12.99","May 10, 1985",1064,5329,15200,"Fiction","Classics","Historical Fiction","Literature","Literary Fiction",40,39,15,2,1," Hardcover","4.01"
"333",333,"The Martian","Andy Weir",4.42,1163687,44253,519,"8.99","September 27, 2011",384,89999,53800,"Science Fiction","Fiction","Audiobook","Adventure","Space",56,31,8,1,1," Hardcover","4.33"
"334",334,"The Cruel Prince","Holly Black",4.03,1378422,43362,474,NA,"January 2, 2018",370,125351,112000,"Fantasy","Young Adult","Romance","Fae","Fiction",37,36,18,4,2," Hardcover","4.08"
"335",335,"Fangirl","Rainbow Rowell",3.95,757779,43330,501,"9.99","September 10, 2013",483,59224,141000,"Young Adult","Contemporary","Fiction","Realistic Fiction","New Adult",37,32,19,6,3," Kindle Edition","3.94"
"336",336,"Walden","Henry David Thoreau",3.78,193338,43090,583,"0.00","August 9, 1854",352,8108,6195,"Philosophy","Nonfiction","Nature","Classics","Memoir",31,32,23,8,4," Paperback","3.84"
"337",337,"Hamlet","William Shakespeare",4.02,980118,42902,536,"3.00","January 1, 1601",289,23891,44400,"Plays","Fiction","School","Literature","Read For School",38,33,20,5,1," Paperback","3.86"
"338",338,"Mrs. Dalloway","Virginia Woolf",3.79,318470,42508,553,"2.99","May 14, 1925",194,19939,25600,"Fiction","Classics","Literature","Novels","Feminism",30,33,23,8,3," Hardcover","3.87"
"339",339,"Legend","Marie Lu",4.15,540322,42497,485,NA,"November 29, 2011",305,38354,135000,"Young Adult","Dystopia","Fantasy","Science Fiction","Romance",44,34,16,3,1," Hardcover","4.14"
"340",340,"Sophie’s World","Jostein Gaarder",3.96,265530,42433,514,"2.99","January 1, 1991",403,15573,7244,"Fiction","Classics","Young Adult","Novels","Fantasy",35,35,20,5,2," Paperback","3.93"
"341",341,"All the Light We Cannot See","Anthony Doerr",4.31,1758104,42304,491,"14.99","May 6, 2014",544,112628,23700,"Historical Fiction","Fiction","Historical","War","World War II",52,31,11,2,1," Hardcover","4.29"
"342",342,"Fried Green Tomatoes at the Whistle Stop Cafe","Fannie Flagg",4.28,312983,42247,584,"9.99","January 1, 1987",416,10639,4551,"Fiction","Historical Fiction","Classics","LGBT","Queer",47,35,13,2,1," Hardcover","4.13"
"343",343,"The Hound of the Baskervilles","Arthur Conan Doyle",4.13,356983,42062,577,"0.99","March 25, 1902",256,13022,23100,"Mystery","Fiction","Crime","Classics","Mystery Thriller",38,39,17,2,1," Mass Market Paperback","4.17"
"344",344,"The Awakening","Kate Chopin",3.68,213797,42016,534,NA,"January 1, 1899",195,11543,1677,"Classics","Fiction","Feminism","School","Literature",27,33,25,9,4," Paperback","3.74"
"345",345,"The Complete Maus","Art Spiegelman",4.58,229399,41960,531,NA,"January 1, 1980",296,14846,3021,"Graphic Novels","Comics","Nonfiction","History","Biography",67,24,5,1,1," Paperback","4.4"
"346",346,"The Graveyard Book","Neil Gaiman",4.16,550053,40742,512,"0.00","September 30, 2008",312,40966,317000,"Fantasy","Young Adult","Fiction","Horror","Middle Grade",42,36,15,3,1," Hardcover","4.15"
"347",347,"Do Androids Dream of Electric Sheep?","Philip K. Dick",4.09,467604,40329,519,"6.99","January 1, 1968",258,20933,20900,"Science Fiction","Dystopia","Cyberpunk","Science Fiction Fantasy","Fantasy",36,40,18,3,1," Kindle Edition","3.93"
"348",348,"Middlemarch","George Eliot",4.02,167377,40236,503,"0.99","January 1, 1872",912,11734,4425,"Classics","Fiction","Historical Fiction","Literature","19th Century",41,31,18,5,2," Mass Market Paperback","3.87"
"349",349,"Fifty Shades Darker","E.L. James",3.83,931791,39955,473,NA,"September 13, 2011",532,31083,57700,"Romance","Fiction","Erotica","BDSM","Adult",40,24,19,9,6," Paperback","3.75"
"350",350,"Sophie’s Choice","William Styron",4.17,92148,39949,544,"12.46","January 1, 1979",562,3124,850,"Fiction","Historical Fiction","Holocaust","War","Classics",45,33,14,4,1," Paperback","4.09"
"351",351,"Stardust","Neil Gaiman",4.1,466955,39850,512,"0.00","January 1, 1999",248,27172,317000,"Fantasy","Fiction","Young Adult","Adventure","Audiobook",38,38,17,3,1," Paperback","4.15"
"352",352,"The Monster at the End of this Book","Jon Stone",4.46,125758,39632,491,NA,"January 1, 1971",32,3425,52,"Picture Books","Childrens","Fiction","Humor","Classics",66,19,9,2,1," Hardcover","4.45"
"353",353,"The Prince of Tides","Pat Conroy",4.25,211052,39623,522,"12.99","January 1, 1986",679,5427,3670,"Fiction","Classics","Romance","Southern","Contemporary",49,32,13,3,1," Paperback","4.18"
"354",354,"Things Fall Apart","Chinua Achebe",3.74,383175,39457,512,NA,"January 1, 1958",215,20742,3889,"Fiction","Classics","Historical Fiction","Africa","School",25,36,25,8,3," Paperback","3.75"
"355",355,"Black Beauty","Anna Sewell",3.99,284416,39116,564,"0.99","November 24, 1877",245,7032,830,"Classics","Fiction","Childrens","Animals","Young Adult",38,31,22,5,1," Mass Market Paperback","4.0"
"356",356,"Dead Until Dark","Charlaine Harris",3.97,547300,39107,494,NA,"May 1, 2001",292,20596,36300,"Fantasy","Vampires","Paranormal","Romance","Urban Fantasy",37,33,21,5,2," Mass Market Paperback","3.94"
"357",357,"The Elephant Tree","R.D. Ronald",3.73,28318,38925,424,"3.99","August 23, 2010",252,435,3338,"Thriller","Fiction","Mystery","Crime","Drama",34,27,20,9,7," Paperback","3.75"
"358",358,"A Time to Kill","John Grisham",4.12,808859,38774,524,NA,"January 1, 1989",738,7265,83500,"Fiction","Thriller","Mystery","Crime","Suspense",41,35,17,3,1," Paperback","3.96"
"359",359,"Bridget Jones’s Diary","Helen Fielding",3.8,994502,38698,532,NA,"January 1, 1999",288,13124,4801,"Fiction","Chick Lit","Romance","Contemporary","Humor",30,33,24,7,3," Hardcover","3.75"
"360",360,"Number the Stars","Lois Lowry",4.19,582657,38674,510,"0.00","April 24, 1989",137,17063,21700,"Historical Fiction","Young Adult","Fiction","Classics","Middle Grade",44,34,16,3,1," Paperback","4.1"
"361",361,"Eleanor & Park","Rainbow Rowell",3.94,1198486,38613,451,"0.00","April 12, 2012",328,78991,141000,"Young Adult","Romance","Fiction","Contemporary","Realistic Fiction",37,32,19,6,3," Hardcover","3.94"
"362",362,"Aristotle and Dante Discover the Secrets of the Universe","Benjamin Alire Sáenz",4.3,628165,38486,419,NA,"February 21, 2012",390,74763,15400,"Young Adult","LGBT","Contemporary","Fiction","Queer",52,30,12,3,1," Hardcover","4.27"
"363",363,"V for Vendetta","Alan             Moore",4.26,312962,38243,500,NA,"January 14, 1990",296,7355,20400,"Graphic Novels","Comics","Fiction","Dystopia","Science Fiction",49,32,12,3,1," Hardcover","4.24"
"364",364,"The Magician’s Nephew","C.S. Lewis",4.05,558438,38059,530,NA,"May 2, 1955",221,22157,43900,"Fantasy","Fiction","Young Adult","Childrens","Middle Grade",38,34,21,4,1," Mass Market Paperback","4.17"
"365",365,"The Art of Racing in the Rain","Garth Stein",4.23,530395,37829,448,"12.99","May 13, 2008",336,44932,4542,"Fiction","Animals","Dogs","Audiobook","Adult Fiction",47,33,14,3,1," Hardcover","4.21"
"366",366,"Franny and Zooey","J.D. Salinger",3.96,227439,37642,482,"0.00","January 1, 1957",201,11286,15400,"Fiction","Short Stories","Literature","Classics","American",35,35,21,6,1," Paperback","3.83"
"367",367,"The Witches","Roald Dahl",4.18,405393,37577,501,"8.99","September 28, 1981",208,10746,25300,"Fantasy","Childrens","Fiction","Classics","Middle Grade",45,32,16,3,1," Paperback","4.15"
"368",368,"American Psycho","Bret Easton Ellis",3.81,327029,37393,448,"12.99","March 6, 1991",399,20971,11400,"Fiction","Horror","Classics","Thriller","Crime",31,34,20,7,4," Paperback","3.72"
"369",369,"Beowulf","Unknown",3.49,323233,37309,530,"7.66","January 1, 1000",259,11842,3132,"Poetry","Fiction","Fantasy","Classics","Mythology",22,28,29,2,6," Paperback","3.6"
"370",370,"The Gunslinger","Stephen         King",3.92,625689,37294,457,NA,"June 1, 1982",231,25870,857000,"Fantasy","Fiction","Horror","Science Fiction","Audiobook",37,30,21,7,2," Paperback","4.07"
"371",371,"The Zombie Room","R.D. Ronald",3.78,29589,36956,402,"0.00","July 26, 2012",218,408,3338,"Thriller","Fiction","Mystery","Crime","Drama",37,26,18,8,8," Kindle Edition","3.75"
"372",372,"White Fang","Jack London",4.02,194339,36846,525,"0.00","May 1, 1906",252,6608,7093,"Fiction","Classics","Adventure","Animals","Young Adult",36,36,21,4,1," Paperback","3.99"
"373",373,"Love You Forever","Robert Munsch",4.37,240468,36821,466,"4.73","January 1, 1986",32,6205,1461,"Picture Books","Childrens","Fiction","Classics","Family",65,17,9,3,3," Paperback","4.3"
"374",374,"A Short History of Nearly Everything","Bill Bryson",4.22,396018,36797,446,"12.99","January 1, 2003",544,16249,20900,"Nonfiction","Science","History","Audiobook","Humor",47,33,13,3,2," Paperback","4.04"
"375",375,"Allegiant","Veronica Roth",3.6,1080744,36695,455,NA,"October 22, 2013",531,72158,461000,"Young Adult","Dystopia","Fiction","Fantasy","Science Fiction",27,28,26,2,5," Hardcover","4.01"
"376",376,"War and Peace","Leo Tolstoy",4.16,338161,36618,444,"0.99","January 1, 1869",1392,18146,25700,"Classics","Fiction","Historical Fiction","Russia","Russian Literature",47,30,15,4,2," Paperback","4.09"
"377",377,"The Power of One","Bryce Courtenay",4.35,90457,36428,418,NA,"January 1, 1989",544,6016,2110,"Fiction","Historical Fiction","Africa","Classics","South Africa",55,29,10,2,1," Paperback","4.21"
"378",378,"If I Stay","Gayle Forman",3.92,926769,36353,439,NA,"April 2, 2009",208,42190,24900,"Young Adult","Romance","Contemporary","Fiction","Realistic Fiction",34,33,22,6,2," Hardcover","3.91"
"379",379,"Harry Potter Series Box Set","J.K. Rowling",4.74,292224,36238,437,"74.99","October 1, 2007",4100,8456,228000,"Fantasy","Young Adult","Fiction","Magic","Childrens",80,14,3,1,1," Hardcover","4.46"
"380",380,"The Complete Novels","Jane Austen",4.57,33518,36063,488,"0.99","January 1, 1981",1344,753,68900,"Classics","Fiction","Romance","Historical Fiction","Literature",71,19,6,1,1," Paperback","4.15"
"381",381,"Gulliver’s Travels","Jonathan Swift",3.58,280443,36011,551,"0.99","January 1, 1726",306,7944,1968,"Classics","Fiction","Fantasy","Adventure","Literature",20,32,33,0,3," Paperback","3.68"
"382",382,"The Eye of the World","Robert Jordan",4.19,546304,35611,415,NA,"January 15, 1990",800,23956,16100,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Audiobook",46,33,14,3,1," Mass Market Paperback","4.21"
"383",383,"A Portrait of the Artist as a Young Man","James Joyce",3.64,155304,35605,470,"1.99","December 16, 1916",329,8103,8629,"Classics","Fiction","Literature","Irish Literature","Ireland",26,32,25,0,5," Paperback","3.75"
"384",384,"Ignite Me","Tahereh Mafi",4.46,533624,35511,395,NA,"February 4, 2014",NA,56916,57900,"Fantasy","Dystopia","Romance","Young Adult","Science Fiction",61,26,8,2,1,"Kindle Edition","4.05"
"385",385,"Tuck Everlasting","Natalie Babbitt",3.9,280362,35092,477,"8.99","January 1, 1975",148,12268,1163,"Fantasy","Classics","Young Adult","Fiction","Childrens",32,34,23,6,2," Paperback","3.9"
"386",386,"Fifty Shades Freed","E.L. James",3.83,875592,35016,418,NA,"April 17, 2012",579,27998,57700,"Romance","Erotica","Fiction","BDSM","Adult",41,23,19,9,6," Paperback","3.75"
